file,start_line,start_character,end_line,end_character,message
./test_code/BinaryExpression_WhenCantLogic_failure.a,17,11,17,24,"Could not find a meaning for 'principal' || '__ViewerType'"
./test_code/BinaryExpression_WhenCantMod_failure.a,1,11,1,23,"Could not find a meaning for 'bool' % 'bool'"
./test_code/BinaryExpression_WhenCantMod_failure.a,2,11,2,19,"Could not find a meaning for 'bool' % 'int'"
./test_code/BinaryExpression_WhenCantMod_failure.a,3,11,3,19,"Could not find a meaning for 'int' % 'bool'"
./test_code/BinaryExpression_WhenCantMod_failure.a,4,11,4,21,"Could not find a meaning for 'bool' % 'double'"
./test_code/BinaryExpression_WhenCantMod_failure.a,5,11,5,21,"Could not find a meaning for 'double' % 'bool'"
./test_code/BinaryExpression_WhenCantMod_failure.a,6,11,6,25,"Could not find a meaning for 'bool' % 'principal'"
./test_code/BinaryExpression_WhenCantMod_failure.a,7,11,7,23,"Could not find a meaning for 'principal' % '__ViewerType'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,11,3,11,11,"Expression expected to be computed, rather than assigned to"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,11,3,11,11,"Could not find a meaning for 'bool' + 'int'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,11,17,11,23,"Could not find a meaning for 'string' / 'int'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,1,11,1,23,"Could not find a meaning for 'bool' * 'bool'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,2,11,2,19,"Could not find a meaning for 'bool' * 'int'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,3,11,3,19,"Could not find a meaning for 'int' * 'bool'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,4,11,4,21,"Could not find a meaning for 'bool' * 'double'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,5,11,5,21,"Could not find a meaning for 'double' * 'bool'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,6,11,6,25,"Could not find a meaning for 'bool' * 'principal'"
./test_code/BinaryExpression_WhenCantMultiply_failure.a,7,11,7,23,"Could not find a meaning for 'principal' * '__ViewerType'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,1,11,1,23,"Could not find a meaning for 'bool' < 'bool'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,2,11,2,19,"Could not find a meaning for 'bool' < 'int'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,3,11,3,19,"Could not find a meaning for 'int' < 'bool'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,4,11,4,21,"Could not find a meaning for 'bool' < 'double'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,5,11,5,21,"Could not find a meaning for 'double' < 'bool'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,6,11,6,25,"Could not find a meaning for 'bool' < 'principal'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,7,11,7,23,"Could not find a meaning for 'principal' < '__ViewerType'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,11,11,11,23,"Could not find a meaning for 'bool' > 'bool'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,12,11,12,19,"Could not find a meaning for 'bool' > 'int'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,13,11,13,19,"Could not find a meaning for 'int' > 'bool'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,14,11,14,21,"Could not find a meaning for 'bool' > 'double'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,15,11,15,21,"Could not find a meaning for 'double' > 'bool'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,16,11,16,25,"Could not find a meaning for 'bool' > 'principal'"
./test_code/BinaryExpression_WhenCantRelate_failure.a,17,11,17,23,"Could not find a meaning for 'principal' > '__ViewerType'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,11,3,11,11,"Expression expected to be computed, rather than assigned to"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,11,3,11,11,"Could not find a meaning for 'bool' + 'int'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,11,17,11,23,"Could not find a meaning for 'string' / 'int'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,1,11,1,23,"Could not find a meaning for 'bool' - 'bool'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,2,11,2,19,"Could not find a meaning for 'bool' - 'int'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,3,11,3,19,"Could not find a meaning for 'int' - 'bool'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,4,11,4,21,"Could not find a meaning for 'bool' - 'double'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,5,11,5,21,"Could not find a meaning for 'double' - 'bool'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,6,11,6,25,"Could not find a meaning for 'bool' - 'principal'"
./test_code/BinaryExpression_WhenCantSubtract_failure.a,7,11,7,23,"Could not find a meaning for 'principal' - '__ViewerType'"
./test_code/BlindSendPolicy_ControlFlowOpen_failure.a,1,7,5,3,"The 'send' policy must return a boolean"
./test_code/BlindSendPolicy_TimeNotStatic_failure.a,2,12,2,20,"Global 'Time' lacks 'now'"
./test_code/BlindSendPolicy_TimeNotStatic_failure.a,2,12,2,20,"Expression is not a function"
./test_code/Block_DeadCode_failure.a,2,2,2,14,"This code is unreachable."
./test_code/Block_DuplicateVariable_failure.a,2,2,2,8,"Variable 'x' was already defined"
./test_code/BubbleG_CantFind_failure.a,0,0,0,18,"Policy 'p2' was not found for bubble guard"
./test_code/BugsApril_Issues_failure.a,3,6,3,14,"Expression expected to be computed, rather than assigned to"
./test_code/BugsApril_Issues_failure.a,3,6,3,14,"Could not find a meaning for 'bool' + 'int'"
./test_code/BugsApril_Issues_failure.a,4,3,4,11,"Expression expected to be computed, rather than assigned to"
./test_code/BugsApril_Issues_failure.a,4,3,4,11,"Could not find a meaning for 'bool' + 'int'"
./test_code/BugsApril_Issues_failure.a,5,10,5,20,"Type not found: a message named 'Foo' was not found."
./test_code/COE_InfiniteCrossFormulaRecursion_failure.a,0,0,0,0,"A cycle was detected within records: A, B, C, A"
./test_code/COE_InfiniteCrossFormulaRecursion_failure.a,0,0,0,0,"The record/message 'A' has the potential to create an infinite serialization"
./test_code/COE_InfiniteCrossFormula_failure.a,0,0,0,0,"A cycle was detected within records: A, B, A"
./test_code/COE_InfiniteCrossFormula_failure.a,0,0,0,0,"The record/message 'A' has the potential to create an infinite serialization"
./test_code/COE_InfiniteCycle_failure.a,2,19,2,20,"The variable 'x' was not defined"
./test_code/COE_InfiniteCycle_failure.a,2,0,2,21,"The field 'z' has no type"
./test_code/COE_InfiniteCycle_failure.a,2,0,2,21,"Variable 'z' has no backing type"
./test_code/COE_InfiniteCycle_failure.a,1,19,1,20,"The variable 'z' was not defined"
./test_code/COE_InfiniteCycle_failure.a,1,0,1,21,"The field 'y' has no type"
./test_code/COE_InfiniteCycle_failure.a,1,0,1,21,"Variable 'y' has no backing type"
./test_code/COE_InfiniteCycle_failure.a,0,19,0,20,"The variable 'y' was not defined"
./test_code/COE_InfiniteCycle_failure.a,0,0,0,21,"The field 'x' has no type"
./test_code/COE_InfiniteCycle_failure.a,0,0,0,21,"Variable 'x' has no backing type"
./test_code/COE_InfiniteInvalidate_failure.a,0,0,0,0,"A cycle was detected within records: X, Y, X"
./test_code/COE_InfiniteInvalidate_failure.a,0,0,0,0,"The record/message 'X' has the potential to create an infinite serialization"
./test_code/COE_InfiniteRecord_failure.a,0,0,0,0,"A cycle was detected within records: R, R"
./test_code/COE_InfiniteRecord_failure.a,0,0,0,0,"The record/message 'R' has the potential to create an infinite serialization"
./test_code/ChannelsGuard_NotFound_failure.a,3,0,4,1,"Policy 'p2' was not found for handler requirement"
./test_code/Channels_DuplicateHandlers_failure.a,3,0,4,1,"Handler 'goo' was already defined."
./test_code/Channels_DuplicateHandlers_failure.a,5,0,5,15,"Handler 'goo' was already defined."
./test_code/Channels_MessageMethodsScopedStatic_failure.a,7,21,7,22,"The variable 'z' was not defined"
./test_code/Channels_MessageMethodsScopedStatic_failure.a,6,2,8,3,"Function 'succ_z' does not return in all cases"
./test_code/Channels_MessageTypeWasRecord_failure.a,3,0,3,15,"Type incorrect: expecting 'X' to be a message type; instead, found a type of 'X'."
./test_code/Channels_MessageTypeWasRecord_failure.a,5,0,6,1,"Type incorrect: expecting 'X' to be a message type; instead, found a type of 'X'."
./test_code/Channels_UndefinedMessage_failure.a,0,0,0,15,"Type not found: a message named 'X' was not found."
./test_code/Channels_UndefinedMessage_failure.a,2,0,3,1,"Type not found: a message named 'X' was not found."
./test_code/ConnectionEvents_ConnectMustReturn_failure.a,0,11,1,1,"The @connected handler must return a boolean"
./test_code/Constructor_CantUnionTypes_failure.a,9,2,9,6,"Type check failure: The types 'MB' and 'bool' are not compatible for type unification"
./test_code/ControlSwitch_BadExpressions_failure.a,5,4,5,15,"case label should be an integer constant"
./test_code/ControlSwitch_BadExpressions_failure.a,8,4,8,13,"case label should be an integer constant"
./test_code/ControlSwitch_BadExpressions_failure.a,11,4,11,14,"case label should be an integer constant"
./test_code/ControlSwitch_BadExpressions_failure.a,19,4,19,13,"case label should be an string constant"
./test_code/ControlSwitch_BadExpressions_failure.a,20,6,20,10,"The variable 'sum2' was not defined"
./test_code/ControlSwitch_BadExpressions_failure.a,23,4,23,14,"case label should be an string constant"
./test_code/ControlSwitch_BadExpressions_failure.a,28,4,28,13,"case label should be an enum constant or enum array reference"
./test_code/ControlSwitch_BadExpressions_failure.a,29,4,29,13,"case label should be an enum constant or enum array reference"
./test_code/ControlSwitch_BadExpressions_failure.a,30,4,30,12,"case label should be an enum constant or enum array reference"
./test_code/ControlSwitch_BadTimes_failure.a,1,2,1,11,"case label should be within a switch statement"
./test_code/ControlSwitch_BadTimes_failure.a,2,2,2,10,"default: requires being in a switch statement"
./test_code/ControlSwitch_BadTimes_failure.a,3,2,3,10,"default: requires being in a switch statement"
./test_code/ControlSwitch_BadTimes_failure.a,3,2,3,10,"there can be only one default case"
./test_code/ControlSwitch_BadTimes_failure.a,4,2,4,10,"default: requires being in a switch statement"
./test_code/ControlSwitch_BadTimes_failure.a,4,2,4,10,"there can be only one default case"
./test_code/ControlSwitch_BadTimes_failure.a,5,2,5,11,"case label should be within a switch statement"
./test_code/ControlSwitch_BadType_failure.a,2,2,7,3,"switch statements work with integer, string, or enum types"
./test_code/ControlSwitch_BadType_failure.a,9,2,11,3,"switch statements work with integer, string, or enum types"
./test_code/ControlSwitch_DeadCode_failure.a,11,2,11,9,"This code is unreachable."
./test_code/ControlSwitch_DeadCode_failure.a,20,1,20,8,"This code is unreachable."
./test_code/ControlSwitch_DeadCode_failure.a,28,6,28,13,"This code is unreachable."
./test_code/ControlSwitch_DeadCode_failure.a,31,6,31,13,"This code is unreachable."
./test_code/ControlSwitch_DeadCode_failure.a,39,6,39,13,"This code is unreachable."
./test_code/ControlSwitch_TooManyDefaults_failure.a,6,4,6,12,"Switch has too many defaults."
./test_code/ControlSwitch_TooManyDefaults_failure.a,6,4,6,12,"there can be only one default case"
./test_code/Control_CantAbortOutsideOfMessageHandler_failure.a,8,2,8,8,"Can only 'abort' from a message handler or an abortable procedure/method"
./test_code/Control_CantBlockOutsideOfStateTransition_failure.a,5,2,5,8,"Can only 'block' from a state machine transition"
./test_code/Control_NotMaybeInIf_failure.a,1,6,1,7,"Type check failure: the type 'int' was expected to be a maybe<?>"
./test_code/Conversion_CantConvertIntList_failure.a,4,22,4,31,"Type check failure: the type `int[]` is unable to be converted. Only list<S>, S[], maybe<S> can be converted where S is either a record or a message."
./test_code/Conversion_CantConvertListToList_failure.a,12,2,12,8,"Type check failure: the type 'list<M>' is unable to store type 'M[]'."
./test_code/Conversion_CantInteger_failure.a,4,22,4,23,"Type check failure: the type `int` is unable to be converted. Only list<S>, S[], maybe<S> can be converted where S is either a record or a message."
./test_code/Conversion_CantMaybeInteger_failure.a,4,29,4,30,"Type check failure: must have a type of 'record' or 'message', but got a type of 'int'."
./test_code/Conversion_CantMaybeInteger_failure.a,4,22,4,30,"Type check failure: the type `maybe<int>` is unable to be converted. Only list<S>, S[], maybe<S> can be converted where S is either a record or a message."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,11,2,11,8,"Type check failure: the type 'string' is unable to store type 'int'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,15,2,15,5,"Type check failure: the type 'int' is unable to store type 'string'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,6,2,6,8,"Type check failure: the type 'string' is unable to store type 'int'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,21,2,21,11,"The type 'BigS' contains field 'z' which is not found within 'SmallI'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,21,2,21,11,"The type 'BigI' contains field 'z' which is not found within 'SmallI'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,22,2,22,11,"The type 'BigS' contains field 'z' which is not found within 'SmallS'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,1,2,1,5,"Type check failure: the type 'int' is unable to store type 'string'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,22,2,22,11,"The type 'BigI' contains field 'z' which is not found within 'SmallS'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,1,2,1,5,"Type check failure: the type 'int' is unable to store type 'string'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,6,2,6,8,"Type check failure: the type 'string' is unable to store type 'int'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,11,2,11,8,"Type check failure: the type 'string' is unable to store type 'int'."
./test_code/Conversion_WhenCantConvertBasedOnFields_failure.a,15,2,15,5,"Type check failure: the type 'int' is unable to store type 'string'."
./test_code/CrashReport_March21_failure.a,3,2,3,14,"The type 'maybe<String>' is using a type that was not found."
./test_code/CrashReport_March21_failure.a,2,0,3,27,"The field 'bound_type' has no type"
./test_code/CrashReport_March21_failure.a,2,0,3,27,"Variable 'bound_type' has no backing type"
./test_code/CreationPolicy_ControlFlowOpen_failure.a,1,9,5,3,"The 'create' policy must return a boolean"
./test_code/CreationPolicy_TimeNotStatic_failure.a,2,12,2,20,"Global 'Time' lacks 'now'"
./test_code/CreationPolicy_TimeNotStatic_failure.a,2,12,2,20,"Expression is not a function"
./test_code/DateTimeFun_DateTimeSad_failure.a,0,23,0,33,"File './test_code/DateTimeFun_DateTimeSad_failure.a' failed to parse: Failed to parse datetime: \"2023/1/2\" {Token: `\"2023/1/2\"` @ (0,23) -> (0,33): StringLiteral}"
./test_code/DateTimeFun_DateTimeSad_failure.a,0,0,0,0,"Import failed (Parse): Failed to parse datetime: \"2023/1/2\" {Token: `\"2023/1/2\"` @ (0,23) -> (0,33): StringLiteral}"
./test_code/Define_AssignTableOddities_failure.a,1,0,1,7,"The type 'table<X>' is not applicable for assignment (=)"
./test_code/Define_AssignTableOddities_failure.a,1,0,1,7,"Type check failure: the type 'table<X>' is unable to store type 'int'."
./test_code/Define_AssignTableOddities_failure.a,1,0,5,8,"Could not find a meaning for 'table<X>' += 'int'"
./test_code/Define_AssignTableOddities_failure.a,1,0,6,8,"Could not find a meaning for 'table<X>' *= 'int'"
./test_code/Define_AssignTableOddities_failure.a,1,0,7,8,"Could not find a meaning for 'table<X>' -= 'int'"
./test_code/Define_AssignTableOddities_failure.a,1,0,1,7,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'table<X>'"
./test_code/Define_AssignTableOddities_failure.a,1,0,1,7,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'table<X>'"
./test_code/Define_AssignTableOddities_failure.a,1,0,1,7,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'table<X>'"
./test_code/Define_AssignTableOddities_failure.a,1,0,1,7,"Type check failure: must have a type of 'bool', but the type is actually 'table<X>'"
./test_code/Define_BetweenNonArrayToArray_failure.a,5,2,5,5,"Type check failure: the type 'M[]' is unable to store type 'int'."
./test_code/Define_BetweenNonArrayToArray_failure.a,6,22,6,24,"Type check failure: the type `int` is unable to be converted. Only list<S>, S[], maybe<S> can be converted where S is either a record or a message."
./test_code/Define_BetweenNonArrayToArray_failure.a,7,2,7,3,"Type check failure: expected an array, but was actually type 'M'."
./test_code/Define_BumpWrongType_failure.a,7,11,7,12,"Type check failure: must have a type of 'bool', but the type is actually 'int'"
./test_code/Define_BumpWrongType_failure.a,8,4,8,17,"Type check failure: must have a type of 'bool', but the type is actually 'string'"
./test_code/Define_BumpWrongType_failure.a,11,2,11,15,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'list<r<string>>'"
./test_code/Define_BumpWrongType_failure.a,12,5,12,18,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'list<r<string>>'"
./test_code/Define_CantBumpString_failure.a,2,2,2,3,"The variable 'x' is readonly"
./test_code/Define_CantBumpString_failure.a,1,2,1,14,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'string'"
./test_code/Define_CantSetLazy_failure.a,1,17,4,9,"'r<auto<int>>' is unable to accept an set of 'int'."
./test_code/Define_CantSetLazy_failure.a,1,17,1,18,"The type 'r<auto<int>>' is not applicable for assignment (=)"
./test_code/Define_CantSetLazy_failure.a,1,17,1,18,"Type check failure: the type 'r<auto<int>>' is unable to store type 'int'."
./test_code/Define_FailingAssignments_failure.a,2,0,2,7,"The type 'table<R>' is not applicable for assignment (=)"
./test_code/Define_FailingAssignments_failure.a,2,0,2,7,"Type check failure: the type 'table<R>' is unable to store type 'int'."
./test_code/Define_FailingAssignments_failure.a,2,0,6,8,"Could not find a meaning for 'table<R>' += 'int'"
./test_code/Define_FailingAssignments_failure.a,2,0,7,8,"Could not find a meaning for 'table<R>' *= 'int'"
./test_code/Define_FailingAssignments_failure.a,2,0,8,8,"Could not find a meaning for 'table<R>' -= 'int'"
./test_code/Define_InappropriateType_failure.a,1,2,1,5,"Type check failure: the type 'int' is unable to store type 'string'."
./test_code/Define_RightSideFailTyping_failure.a,1,10,1,18,"Could not find a meaning for 'string' + '__ViewerType'"
./test_code/Define_ValueDoesntAssign_failure.a,6,2,6,5,"Type check failure: the type 'int' is unable to store type 'table<R>'."
./test_code/DeleteEvents_DeleteMustReturn_failure.a,0,8,1,1,"The @delete handler must return a boolean"
./test_code/Delta_BadThingsOnLazy_failure.a,9,0,9,15,"Lazy type has inappropriate type `channel<M>`"
./test_code/Delta_BadThingsOnLazy_failure.a,9,0,11,26,"Lazy type has inappropriate type `maybe<channel<M>>`"
./test_code/Document_CantMixChannelAndFunctions_failure.a,5,0,7,1,"The function 'foo' was already defined."
./test_code/Document_CantMixChannelAndFunctions_failure.a,13,0,13,15,"Handler 'goo' was already defined."
./test_code/Document_DuplicateComputeFields_failure.a,1,0,1,13,"Global field 'x' was already defined"
./test_code/Document_DuplicateComputeFields_failure.a,3,0,3,13,"Global field 'y' was already defined"
./test_code/Document_DuplicateEnums_failure.a,1,0,1,12,"The enumeration 'X' was already defined."
./test_code/Document_DuplicateEnums_failure.a,0,0,0,12,"The enumeration 'X' was defined here."
./test_code/Document_DuplicateFields_failure.a,1,0,1,13,"Global field 'x' was already defined"
./test_code/Document_DuplicateMessages_failure.a,4,0,6,1,"The message 'M' was already defined."
./test_code/Document_DuplicateMessages_failure.a,0,0,2,1,"The message 'M' was defined here."
./test_code/Document_DuplicatePolicies_failure.a,4,0,6,1,"Global policy 'foo' was already defined"
./test_code/Document_DuplicateRecords_failure.a,4,0,6,1,"The record 'R' was already defined."
./test_code/Document_DuplicateRecords_failure.a,0,0,2,1,"The record 'R' was defined here."
./test_code/Document_UnknownType_failure.a,0,0,0,1,"Type not found: the type 'X' was not found."
./test_code/Document_UnknownType_failure.a,0,0,0,4,"The field 'x' has no type"
./test_code/Document_UnknownType_failure.a,0,0,0,4,"Variable 'x' has no backing type"
./test_code/Dynamic_Random_failure.a,1,2,1,9,"Type check failure: the type 'dynamic' is unable to store type 'bool'."
./test_code/Enums_CantCrossTypes_failure.a,0,0,0,12,"Type check failure: enum types are incompatible 'X' vs 'T'."
./test_code/Enums_CantCrossTypes_failure.a,0,0,0,12,"Type check failure: the type 'X' is unable to store type 'T'."
./test_code/Enums_CantDefineDuplicates_failure.a,0,0,0,32,"The enumeration 'E' has duplicates for 'X' defined."
